,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
29,SP_Ginny,14,1,0,0,74.67999,0,0,0,0,0.0,0,0,433.011
30,SP_MAGSONUS,14,1,0,0,35.32,0,0,0,0,0.0,0,0,433.021
31,FTF_xxx11165,7,2,2,5,136.82222,0,2,2,2,49.25389,0,0,946.653
32,FTF_Defiand,7,0,0,0,0.0,0,0,0,0,0.0,0,0,230.198
33,FTF_Nando,7,0,1,4,127.99898,0,4,0,0,0.0,0,0,1018.755
34,FTF_ExagonID,7,1,1,6,221.00279,1,2,2,4,218.85255,2,0,1018.744
35,UNC_DatBlue,8,1,0,4,165.08347,0,5,0,0,0.0,0,0,955.107
36,UNC_Tuanz,8,1,2,1,80.39904,1,1,2,2,243.52812,1,0,611.34
37,UNC_Clee,8,1,1,1,78.418175,0,2,2,2,46.432106,0,0,648.321
38,UNC_Best1301,8,1,0,0,100.0,0,0,2,2,38.693188,0,0,639.331
39,PLM_Lossantos,4,2,0,2,229.03671,0,3,2,2,7.1437745,0,0,1398.628
40,PLM_Justmoments,4,1,0,4,245.26271,0,6,2,4,40.428886,2,0,1398.617
41,PLM_RockyJims,4,0,1,1,120.725525,0,2,0,0,0.0,1,0,714.821
42,PLM_Bossense,4,1,1,3,213.15237,0,1,2,2,122.45591,1,0,1398.605
43,FURY_Insight,13,0,0,2,109.92685,0,2,0,0,0.0,0,0,514.59
44,FURY_Ronon,13,0,0,1,72.3079,0,1,0,0,0.0,0,0,526.419
45,FURY_Fludd,13,0,0,3,121.65364,0,3,0,0,0.0,0,0,526.408
46,FURY_Ykikamucow,13,0,0,0,72.987015,0,0,0,0,0.0,0,0,490.164
47,BRU_Eaddy,12,0,0,0,0.0,0,0,0,0,0.0,0,0,98.4
48,BRU_Conaxy,12,1,0,2,170.08575,0,0,0,0,0.0,0,0,392.077
49,BRU_Noardra,12,3,0,3,306.0,0,7,2,6,15.807721,0,0,546.483
50,BRU_GodMiao,12,1,0,0,181.95999,0,0,2,2,80.22589,0,0,305.943
51,CES_SsuBang,11,2,0,0,368.4,1,0,6,6,159.18976,0,0,599.919
52,CES_Taikonn,11,0,0,0,0.0,0,0,0,0,0.0,0,0,499.636
53,CES_HaiSaki,11,0,0,1,31.877998,0,1,0,0,0.0,0,0,600.448
54,CES_Sololzy,11,3,1,3,354.7733,0,5,2,4,27.297876,0,0,642.725
55,DXG_FerGus,15,0,0,0,0.0,0,0,0,0,0.0,0,0,172.741
56,DXG_IQ500,15,0,0,0,0.0,0,0,0,0,0.0,0,0,172.737
57,DXG_NBK,15,0,0,0,0.0,0,0,0,0,0.0,0,0,172.739
58,DXG_NielT,15,1,0,0,136.19,0,0,0,0,0.0,0,0,127.77
59,DRK_HaiWuLian-_-,9,3,0,2,351.4704,0,1,2,4,256.65128,0,0,587.118
60,DRK_Kabbb,9,4,0,4,505.27634,0,3,2,4,40.878704,0,0,731.024
61,DRK_Mjck3y,9,0,1,4,264.4416,0,2,0,0,0.0,0,0,638.357
62,DRK_SimonT,9,0,0,2,233.75607,0,2,2,2,30.042252,0,0,626.671
63,ESLAUOBS09,2,0,0,0,0.0,0,0,0,0,0.0,0,0,728.127
64,es_oc-jblqc20_02,3,0,0,0,0.0,0,0,0,0,0.0,0,0,124.274
65,ESLAUOBS10,1,0,0,0,0.0,0,0,0,0,0.0,0,0,728.26
66,ESLAUOBS10,1,0,0,0,0.0,0,0,0,0,0.0,0,0,201.32
67,ESLAUOBS09,3,0,0,0,0.0,0,0,0,0,0.0,0,1,162.672
68,es_oc-jblqc20_02,2,0,0,0,0.0,0,0,0,0,0.0,0,0,201.185
69,ESLAUOBS10,2,0,0,0,0.0,0,0,0,0,0.0,0,0,1039.204
70,ESLAUOBS09,1,0,0,0,0.0,0,0,0,0,0.0,0,0,1039.205
71,es_oc-jblqc20_02,3,0,0,0,0.0,0,0,0,0,0.0,0,0,1037.21
72,DXG_NBK-,11,2,0,4,157.956,1,0,2,4,31.00033,1,0,1266.291
73,DXG_FerGus,11,0,2,8,102.03033,0,3,2,2,158.50969,0,0,1220.847
74,DXG_NielT,11,0,0,1,0.0,0,1,0,0,0.0,0,0,879.995
75,DXG_IQ500-,11,1,0,3,99.99999,1,1,2,4,180.87215,0,0,1248.344
76,LGDV_Nickyyy,12,0,0,5,19.8,0,2,0,0,0.0,0,0,957.379
77,LGDV_JEnd,12,0,0,4,47.221817,0,12,0,0,0.0,0,0,957.926
78,LGDV_Junnn,12,0,0,1,0.0,0,0,0,0,0.0,0,0,757.631
79,LGDV_NamC,12,1,0,4,119.65016,0,19,0,0,0.0,0,0,1093.963
80,MG_Sulabi,5,0,1,1,55.95137,0,0,0,0,0.0,0,0,1198.244
81,MG_ImuMA,5,0,0,6,47.371197,0,2,0,0,0.0,0,0,1414.22
82,MG_BossShi,5,0,1,2,147.10506,0,3,0,0,0.0,0,0,1450.107
83,MG_TongK,5,4,0,3,412.58032,1,7,2,6,259.68637,0,0,1667.569
84,DRK_SimonT,6,2,0,4,247.68123,0,9,2,4,180.52168,0,0,1599.309
85,DRK_Kabbb,6,1,0,6,96.0,1,12,2,2,56.18167,0,0,1364.532
86,DRK_Mjck3y,6,0,0,4,0.0,0,4,0,0,0.0,0,1,993.976
87,DRK_HaiWuLian-_-,6,0,0,3,139.07997,0,3,0,0,0.0,0,0,962.898
88,VTR_Kamalz,2,0,0,3,0.0,0,0,0,0,0.0,0,0,942.26
89,VTR_C1moy15G,2,1,1,4,149.45853,0,0,2,2,126.25815,0,0,1673.589
90,VTR_GenFos,2,1,2,10,749.9928,0,5,2,4,77.24976,1,0,1801.824
91,VTR_Tedeeyy,2,1,1,3,220.02481,0,6,2,2,116.48569,0,0,1731.409
92,UNC_Tuanz,16,0,0,4,0.0,0,4,0,0,0.0,0,0,859.457
93,UNC_Best1301,16,0,0,5,0.0,0,0,0,0,0.0,0,0,703.256
94,UNC_DatBlue,16,0,0,7,0.0,0,11,0,0,0.0,0,0,855.738
95,UNC_Clee,16,0,0,5,0.0,0,12,0,0,0.0,0,0,895.991
96,FURY_Fludd,3,2,4,7,556.7512,0,2,2,6,199.09088,0,0,1751.511
97,FURY_Insight,3,3,3,9,480.13065,2,2,4,6,38.70442,1,0,1602.312
98,FURY_Ykikamucow,3,2,0,6,609.7208,2,8,8,10,125.10143,0,0,1751.522
99,FURY_Ronon,3,0,4,5,321.73245,1,4,2,2,27.06708,1,0,1614.121
100,FTF_xxx11165,13,0,1,2,56.510998,0,0,0,0,0.0,0,0,1061.854
101,FTF_Nando,13,0,0,5,47.637337,0,1,0,0,0.0,0,0,1067.58
102,FTF_Defiand,13,1,0,5,93.69392,0,2,2,2,125.66557,0,0,1078.198
103,FTF_ExagonID,13,1,1,5,168.24628,1,1,2,2,4.0509586,0,0,1061.696
104,BRU_Noardra,15,2,0,3,214.652,1,0,4,8,353.65195,0,0,930.749
105,BRU_Conaxy,15,0,0,1,0.0,0,0,0,0,0.0,0,0,599.774
106,BRU_Eaddy,15,0,0,0,0.0,0,0,0,0,0.0,0,0,509.852
107,BRU_GodMiao,15,0,0,2,40.99292,0,1,0,0,0.0,0,0,951.916
108,BAE_Ann3N,8,1,0,4,126.73294,0,5,2,2,162.7342,1,0,1423.654
109,BAE_Jouxy,8,0,3,5,296.11642,0,2,0,0,0.0,1,0,1433.656
110,BAE_Lokies,8,3,4,4,289.59387,0,1,0,0,0.0,0,0,1432.642
111,BAE_Neferhor,8,1,0,6,188.75302,0,2,2,6,156.50975,0,0,1435.329
112,NODY_6RYN,10,2,0,2,152.85059,0,1,2,2,36.011528,0,0,1286.382
113,NODY_mewnty,10,0,0,0,37.869232,0,1,0,0,0.0,0,0,988.872
114,NODY_Rain,10,0,0,1,24.483606,0,0,0,0,0.0,2,0,930.861
115,NODY_Sweetsoul,10,0,0,3,151.24402,0,2,0,0,0.0,0,0,925.255
116,CES_Smell,7,2,0,2,213.16653,0,3,2,2,300.08704,0,0,1477.915
117,CES_Sololzy,7,0,0,3,218.02492,0,0,0,0,0.0,0,0,1469.838
118,CES_Taikonn,7,1,0,3,301.38278,0,3,2,2,71.37037,0,0,1477.925
119,CES_SsuBang,7,0,0,0,0.0,0,1,0,0,0.0,0,0,677.782
120,SP_MAGSONUS,4,1,0,4,138.56734,0,11,2,2,27.451078,0,0,1684.048
121,SP_SixSackz,4,3,0,4,251.00204,1,7,4,4,130.34326,0,0,1111.952
122,SP_Ginny,4,0,1,5,61.50224,0,11,0,0,0.0,0,0,1094.58
