,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
31,GEN_Inonix,6,0,0,0,277.0,1,1,1,3,75.28279,0,0,1106
32,E36_Pureboy,31,0,0,0,0.0,0,0,0,0,0.0,0,0,302
33,BDM_BuYoLan,25,0,0,0,89.67,0,0,0,0,0.0,0,0,438
34,AE_CrazyEn,13,0,0,5,338.30127,2,11,1,3,62.027042,0,0,991
35,USG_Americano,23,0,0,1,221.78387,0,0,1,2,37.683487,0,0,624
36,GBL_Lambu,28,0,0,0,0.0,0,0,0,0,0.0,0,0,366
37,GNL_HAMMER,37,0,0,0,0.0,0,0,0,0,0.0,0,0,191
38,V3F_Imhac,38,0,0,0,0.0,0,0,0,0,0.0,0,0,176
39,ATA_Ahcay,35,0,0,0,0.0,0,0,0,0,0.0,0,0,253
40,SSU_Akyeon,24,0,0,2,145.96036,1,1,1,1,5.606316,0,0,534
41,IBSG_orzMaka,3,0,0,0,18.191034,0,0,0,0,0.0,0,0,1283
42,DBH_BiJie,30,0,0,0,0.0,0,0,0,0,0.0,0,0,306
43,RAX_xKe1,18,0,0,4,100.0,0,0,1,1,110.7539,0,0,777
44,GnG_Hwarang,21,0,0,1,0.0,0,0,0,0,0.0,0,0,657
45,FL_TakuOtakU,46,0,0,0,0.0,0,0,0,0,0.0,0,0,76
46,3RL_ottyan,40,0,0,0,0.0,0,0,0,0,0.0,0,0,144
47,AR_AKADESU,24,0,0,0,0.0,0,0,0,0,0.0,0,0,697
48,SST_DDakGu,6,0,0,5,213.50812,0,2,1,1,66.35366,0,0,1180
49,GNL_ROY,5,0,0,3,148.13385,0,0,1,1,171.21109,0,0,1183
50,GGP_SunLight,8,0,0,1,0.0,0,0,0,0,0.0,0,0,1161
51,KDF_LashK,10,0,0,7,68.250916,0,31,0,0,0.0,0,0,1131
52,CAG_MAOxox,19,0,0,2,82.05055,0,1,0,0,0.0,0,0,880
53,GEX_Savior,44,0,0,0,135.01236,0,0,1,1,4.5195312,0,0,91
54,NON_Jungsae,32,0,0,2,0.0,0,0,0,0,0.0,0,0,377
55,ACT_ind1ngu,21,0,0,0,0.0,0,0,0,0,0.0,0,0,854
56,AIR_ANNIL,47,0,0,0,0.0,0,0,0,0,0.0,0,0,70
57,TST_Chenghan,13,0,0,0,200.00002,1,1,1,2,44.48472,0,0,700
58,BDM_BuYoHoo,18,0,0,1,188.8,1,1,1,1,61.676327,0,0,887
59,E36_indigo,15,0,0,2,277.42596,1,0,1,2,13.142526,0,0,914
60,OF_hyka,31,0,0,1,0.0,0,0,0,0,0.0,0,0,394
61,MG_Dlaks,3,0,0,1,542.51215,1,0,1,4,56.157402,0,0,1217
62,GnG_ZeniTh,28,0,0,2,100.0,0,0,1,1,38.5645,0,0,509
63,USG_Corn,43,0,0,0,0.0,0,0,0,0,0.0,0,0,94
64,MRN_EWA,38,0,0,0,0.0,0,0,0,0,0.0,0,0,183
65,KB_SoQQ,41,0,0,0,37.776375,0,0,0,0,0.0,0,0,135
66,AOC_Homei3,12,0,0,7,200.00002,1,1,1,2,36.760754,0,0,1093
67,DK_Menteul,37,0,0,0,119.8,0,1,1,1,35.99022,0,0,185
68,V3F_yuuno6,34,0,0,1,356.20102,0,0,2,2,37.81474,0,0,272
69,AE_CrazyDog,36,0,0,0,0.0,0,1,0,0,0.0,0,0,194
70,RJ_KIMGONI,29,0,0,0,94.07803,0,0,0,0,0.0,0,0,507
71,KSR_W0m1,20,0,0,1,0.0,0,0,0,0,0.0,0,0,879
72,FL_TakuOtakU,40,0,0,0,0.0,0,1,0,0,0.0,0,0,164
73,GEN_Spear,42,0,0,0,0.0,0,0,0,0,0.0,0,0,112
74,IBSG_BoSS,33,0,0,0,0.0,0,0,0,0,0.0,0,0,360
75,ACN_xxxliu,17,0,0,2,143.2,0,0,1,1,26.08815,0,0,896
76,ATA_WICK2D,9,0,0,7,199.99998,0,23,1,2,50.07874,0,0,1146
77,SSU_Barpo,46,0,0,0,0.0,0,0,0,0,0.0,0,0,72
78,V7_Puding,4,0,0,6,452.4196,0,5,1,4,70.91798,0,0,1207
79,GBL_Adder,45,0,0,0,0.0,0,0,0,0,0.0,0,0,76
80,DBH_HebeDD,11,0,0,3,200.0,1,1,1,2,18.632147,0,0,1109
81,EOS_KimKaXhaxx,22,0,0,1,0.0,0,0,0,0,0.0,0,0,848
82,GST_Yian,25,0,0,4,240.61508,0,0,1,2,21.408808,0,0,691
83,DNW_Rex,14,0,0,3,97.42711,0,1,0,0,0.0,0,0,975
84,3RL_nGO,16,0,0,1,0.80000114,0,0,1,1,8.084475,0,0,907
85,ARC_SOLU,7,0,0,3,255.00003,0,2,1,3,55.41551,0,0,1174
86,XXX_NiGo,30,0,0,0,0.0,0,0,0,0,0.0,0,0,428
87,RC_kamitas,26,0,0,0,0.0,0,1,0,0,0.0,0,0,650
88,emT_JeffLocka,23,0,0,2,159.97043,1,1,1,1,58.28314,0,0,263
89,OPGG_ZEARM,1,0,0,2,421.93555,2,1,2,5,90.73161,0,0,1276
90,RKA_YouZeMoLe,39,0,0,0,0.0,0,0,0,0,0.0,0,0,169
91,ISG_DAIKI,35,0,0,0,18.0,0,0,0,0,0.0,0,0,207
92,RAX_xReira5,2,0,0,0,3.8279114,0,0,1,1,26.368427,0,0,543
