,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,Rostovmax,4,0,0,0,0.0,0,0,0,0,0.0,0,0,105
1,es_test-cfla_02,2,0,0,0,0.0,0,0,0,0,0.0,0,0,145
2,es_eu-cfla21_01,3,0,0,0,0.0,0,0,0,0,0.0,0,0,113
3,es_eu-cfla21_02,1,0,0,0,0.0,0,0,0,0,0.0,0,0,145
4,IGM_OBS_4,3,0,0,0,0.0,0,0,0,0,0.0,0,0,118
5,es_eu-cfla21_01,2,0,0,0,176.26523,0,0,1,2,6.372998,0,0,126
6,Lampaaa,1,0,0,0,0.0,0,0,0,0,0.0,0,0,126
7,Rostovmax,4,0,0,0,0.0,0,0,0,0,0.0,0,0,69
8,DJR_hallomybad,11,1,0,6,198.7236,1,1,1,2,9.267311,0,0,1183
9,DJR_SHROWWWWWWW-,11,0,0,0,84.07604,0,0,0,0,0.0,0,0,844
10,DJR_Molodoct,11,1,2,4,235.36668,1,5,1,1,33.545544,1,0,1208
11,DJR_PedalGaza,11,0,1,3,24.0,0,3,0,0,0.0,1,0,1150
12,BT_neformacya,7,2,1,4,342.84778,0,2,1,1,4.2333884,1,0,1354
13,BT_xLurex,7,1,0,3,361.26462,0,3,1,1,65.062874,1,0,1363
14,BT_Danilajke,7,0,2,6,387.04086,0,6,0,0,0.0,0,0,1340
15,BT_Metr1ckz,7,1,1,4,366.3263,0,0,1,1,326.54453,3,0,1325
16,KRAN_Dream4u,13,0,0,2,57.727592,0,5,0,0,0.0,0,0,846
17,KRAN_Werbitum,13,0,0,0,0.0,0,0,0,0,0.0,0,0,81
18,KRAN_Krower,13,0,1,0,87.42,0,0,0,0,0.0,0,0,844
19,KRAN_k1im,13,3,1,1,239.93266,1,0,1,1,193.60405,1,0,876
20,CFRM_takt,14,0,0,1,0.0,0,0,0,0,0.0,0,0,639
21,CFRM_Excela1Ss-,14,0,0,2,120.282486,0,4,0,0,0.0,0,0,675
22,CFRM_maloy,14,0,0,2,53.974842,0,1,0,0,0.0,1,0,871
23,CFRM_Instinct,14,0,0,5,94.45143,0,4,0,0,0.0,1,0,871
24,DOMA_hANSOLOWWS,5,0,0,2,95.74237,0,0,0,0,0.0,0,0,701
25,DOMA_DjexN7,5,0,0,0,0.0,0,0,0,0,0.0,0,0,651
26,DOMA_GuNsSsHoT,5,2,0,7,481.41745,2,5,1,3,48.454556,0,0,1442
27,DOMA_Loki511,5,4,0,4,587.7082,0,4,2,3,22.311924,0,0,1180
28,TXC_Sanechek,2,2,0,9,211.78671,0,3,0,0,0.0,1,0,1820
29,TXC_Nikitosick,2,0,1,7,379.7814,0,2,1,3,303.45535,0,0,1820
30,TXC_Iulian,2,0,1,7,179.55481,0,3,0,0,0.0,0,0,1785
31,TXC_jeka,2,1,1,4,369.44333,0,5,1,2,369.31317,0,0,1815
32,ATS_ninjaSamurai,9,0,0,2,0.0,0,3,0,0,0.0,0,0,1101
33,ATS_Aukenai-,9,0,0,4,86.259346,0,3,0,0,0.0,0,0,1264
34,ATS_Ansli-,9,0,0,0,0.0,0,0,0,0,0.0,0,0,1081
35,ATS_anTlr-,9,0,0,4,74.62872,0,10,0,0,0.0,0,0,1271
36,NP_CTygeHT,8,0,0,7,143.40416,0,3,0,0,0.0,0,0,1275
37,NP_berg1s,8,0,0,2,70.29,0,6,0,0,0.0,0,0,1068
38,NP_Lekr0,8,1,1,2,94.15997,0,0,0,0,0.0,0,0,1054
39,NP_TRIMBL,8,0,0,0,0.0,0,0,0,0,0.0,0,0,822
40,EXN_Salik-,1,0,0,4,127.41115,0,1,1,1,239.07066,0,0,1344
41,EXN_btm,1,3,3,4,750.95447,0,2,1,1,76.79985,0,0,1820
42,EXN_Dab00m,1,3,1,7,757.8687,1,5,1,2,14.986224,0,0,1820
43,EXN_iZooom,1,1,2,5,390.1331,1,4,1,3,354.13403,0,0,1820
44,TM_AIMLUL,4,4,4,4,695.693,1,2,1,2,268.81253,1,0,1445
45,TM_Maxiz0r,4,0,2,5,211.5567,0,3,1,2,160.34785,1,0,1473
46,TM_Dan1mon,4,2,0,3,364.26495,0,1,1,2,91.01243,0,0,1154
47,TM_GOOSYARA666,4,1,1,0,287.20355,1,2,1,2,159.87952,1,0,1473
48,NMD_MANYA-,10,3,0,5,305.8175,1,3,1,3,104.41615,1,0,1265
49,NMD_do0kei,10,0,0,2,11.992481,0,0,0,0,0.0,0,0,468
50,NMD_ostrovk,10,0,0,2,62.04,0,1,0,0,0.0,0,0,712
51,NMD_Coleral,10,0,2,6,267.13934,0,12,0,0,0.0,0,0,973
52,DEZZ_Dronuqtize,12,0,0,4,91.89907,1,5,1,1,260.78415,0,0,1100
53,DEZZ_Reactive,12,0,0,5,0.0,0,0,0,0,0.0,0,0,1145
54,DEZZ_NewJerseya,12,0,0,4,192.10583,0,3,0,0,0.0,1,0,1103
55,DEZZ_Milkerio,12,0,0,7,257.61224,0,3,0,0,0.0,0,0,1163
56,ZzZ_P1NN,16,0,0,0,21.6,0,0,0,0,0.0,0,0,331
57,ZzZ_HoBBitEz,16,0,1,0,46.199997,0,0,0,0,0.0,0,0,342
58,ZzZ_Golden,16,1,1,2,136.0,0,1,1,1,12.572409,0,0,342
59,ZzZ_Houstonrdy,16,1,0,0,32.2,0,0,1,1,3.4415658,0,0,312
60,team_Ieenan,6,2,2,5,489.3028,0,5,0,0,0.0,0,0,1408
61,team_ZorF,6,0,0,2,18.154491,0,0,0,0,0.0,0,0,1061
62,team_whileyoung,6,1,1,5,66.24,0,1,0,0,0.0,0,0,1307
63,TEAM_boggar_T,6,2,0,5,175.3128,0,1,1,2,157.65958,0,0,1330
64,PINK_Archi,15,2,1,0,279.4394,1,1,1,1,10.370993,0,0,397
65,PINK_Matthew,15,2,0,0,299.6974,0,0,2,3,154.12032,0,0,303
66,PINK_GIRYA,15,1,1,0,158.03972,0,0,1,1,11.860701,0,0,322
67,PINK_TheWanderer,15,1,0,0,100.0,0,0,0,0,0.0,0,0,240
68,SKA_hellstory,3,8,0,10,750.77637,2,10,3,9,199.22714,0,0,1511
69,SKA_hAL-T,3,1,2,7,289.09293,0,14,1,2,191.3567,1,0,1409
70,SKA_Agrsv,3,2,3,2,143.39992,0,1,0,0,0.0,0,0,1312
71,SKA_XTeam,3,1,2,3,201.24255,1,3,1,1,24.677814,0,0,1316
72,SKA_Agrsv,14,0,1,3,163.59378,0,1,0,0,0.0,1,0,920
73,SKA_XTeam,14,0,0,2,28.607569,0,1,0,0,0.0,0,0,897
74,SKA_hAL-T,14,1,0,4,100.0,0,0,1,1,60.85296,0,0,773
75,SKA_hellstory,14,1,0,3,142.48033,0,0,1,1,32.27323,0,0,889
76,ATS_ninjaSamurai,12,0,0,3,180.20016,0,2,1,1,164.95871,0,0,1175
77,ATS_Ansli-,12,0,0,0,0.0,0,0,0,0,0.0,0,0,160
78,ATS_anTlr-,12,0,0,2,453.3269,0,1,0,0,0.0,0,0,1157
79,ATS_Aukenai-,12,0,0,3,56.70392,0,3,0,0,0.0,0,0,1082
80,BT_neformacya,13,1,1,1,142.30864,0,1,0,0,0.0,0,0,796
81,BT_Metr1ckz,13,2,0,4,161.46779,0,11,1,2,9.710437,0,0,1041
82,BT_xLurex,13,0,0,0,61.649185,0,0,0,0,0.0,0,0,510
83,BT_Danilajke,13,1,0,3,123.99092,0,3,1,1,8.476294,0,0,868
84,TXC_jeka,9,2,0,2,345.2588,1,2,1,3,205.54651,0,0,1383
85,TXC_Nikitosick,9,1,0,3,222.67484,0,1,0,0,0.0,0,0,1186
86,TXC_Iulian,9,1,0,8,180.73059,0,2,1,1,103.271034,0,0,1394
87,TXC_Sanechek,9,1,0,6,284.6337,0,1,1,2,312.09232,0,0,1317
88,NP_TRIMBL,6,1,1,5,138.92397,0,8,0,0,0.0,0,0,1583
89,NP_Lekr0,6,0,0,0,63.93534,0,1,0,0,0.0,0,0,326
90,NP_berg1s,6,0,0,11,175.96594,0,8,0,0,0.0,0,0,1530
91,NP_CTygeHT,6,0,0,7,83.73534,0,10,0,0,0.0,0,0,1546
92,DJR_SHROWWWWWWW-,3,0,0,4,83.26525,0,0,0,0,0.0,0,0,941
93,DJR_hallomybad,3,0,3,12,363.05206,0,5,0,0,0.0,0,0,1886
94,DJR_Molodoct,3,4,0,7,535.7756,3,3,3,7,114.943146,0,0,1874
95,DJR_PedalGaza,3,1,1,4,108.12793,0,2,0,0,0.0,0,0,1446
96,PINK_Archi,11,0,0,0,29.04,0,0,0,0,0.0,0,0,272
97,PINK_TheWanderer,11,1,0,0,100.0,0,0,0,0,0.0,0,0,282
98,PINK_GIRYA,11,1,0,6,79.256836,0,2,1,1,67.40357,0,1,1189
99,PINK_Matthew,11,0,0,3,20.743156,0,2,0,0,0.0,0,0,1187
100,DOMA_GuNsSshoT,8,0,0,6,31.30599,0,4,0,0,0.0,0,0,1055
101,DOMA_DjexN7,8,1,0,3,176.69019,0,6,1,1,67.28766,0,0,847
102,DOMA_hANSOLOWWS,8,0,0,8,122.40802,0,8,0,0,0.0,2,0,1424
103,DOMA_Loki511,8,0,0,5,310.0082,0,6,0,0,0.0,0,0,1313
104,team_boggar_T,2,0,0,1,0.0,0,0,1,1,465.0432,0,0,1102
105,team_whileyoung,2,4,1,5,491.66608,0,0,2,3,14.427507,0,0,1922
106,team_ZorF,2,1,0,4,323.25208,0,0,1,1,139.42291,1,0,1922
107,team_Ieenan,2,1,0,7,240.51418,0,2,1,1,43.110165,0,0,1166
108,KRAN_Krower,4,0,0,6,98.55198,1,5,1,1,334.11798,0,0,1221
109,KRAN_Werbitum,4,1,0,6,448.0202,0,5,1,3,204.08064,0,0,1640
110,KRAN_Dream4u,4,0,0,3,27.387064,0,3,0,0,0.0,0,0,1517
111,KRAN_k1im,4,1,0,8,195.03629,0,3,0,0,0.0,0,0,1652
112,ZzZ_HoBBitEz,15,1,2,2,144.20891,0,6,1,1,3.1744876,0,0,871
113,ZzZ_P1NN,15,1,1,1,66.0918,0,6,1,1,3.1389463,1,0,861
114,ZzZ_Golden,15,1,0,4,141.58,0,1,1,1,57.217148,0,0,780
115,ZzZ_Houstonrdy,15,0,0,1,73.03969,0,1,0,0,0.0,0,0,811
116,CFRM_Excela1Ss-,7,2,2,4,197.0,0,4,0,0,0.0,0,0,1417
117,CFRM_Instinct,7,1,0,4,342.2348,1,3,1,1,166.61127,0,0,1429
118,CFRM_takt,7,0,1,2,29.3832,0,4,0,0,0.0,0,0,1410
119,CFRM_maloy,7,0,0,3,46.896103,0,5,0,0,0.0,0,0,1145
120,TM_GOOSYARA666,1,1,3,4,392.6006,0,1,1,2,162.42894,1,0,1922
121,TM_Dan1mon,1,5,2,8,1089.2489,1,11,2,6,46.740963,0,0,1922
122,TM_AIMLUL,1,1,3,9,318.97812,1,3,1,1,251.18065,1,0,1520
123,TM_Maxiz0r,1,4,4,9,843.2405,1,9,1,6,125.50442,0,0,1922
124,DEZZ_Reactive,16,0,0,0,0.0,0,0,0,0,0.0,0,0,285
125,DEZZ_Milkerio,16,4,0,1,269.35272,0,0,1,1,24.165987,0,0,302
126,DEZZ_Dronuqtize,16,1,0,1,138.44725,0,0,0,0,0.0,0,0,302
127,DEZZ_NewJerseya,16,1,0,0,100.0,0,0,0,0,0.0,0,0,118
128,EXN_Dab00m,5,2,0,1,83.62,1,2,1,1,16.784601,2,0,751
129,EXN_Salik-,5,2,2,7,448.38022,1,4,1,2,20.133348,4,0,1626
130,EXN_btm,5,2,2,3,511.59256,0,2,1,2,151.82613,0,0,1628
131,EXN_iZooom,5,0,0,0,0.0,0,0,0,0,0.0,0,0,114
132,NMD_do0kei,10,1,1,6,139.73724,0,5,0,0,0.0,0,0,1143
133,NMD_Coleral,10,0,0,6,82.47975,0,5,0,0,0.0,0,0,1256
134,NMD_MANYA-,10,0,0,6,65.58745,0,5,0,0,0.0,0,0,1088
135,NMD_ostrovk,10,0,0,1,65.55702,0,1,0,0,0.0,0,0,1112
136,team_ZorF,12,1,0,2,99.99999,0,5,1,1,41.72222,0,0,560
137,team_whileyoung,12,1,1,11,258.22675,0,11,1,1,16.603184,1,0,1490
138,team_Ieenan,12,1,0,10,347.20386,2,21,1,2,25.347261,0,0,1490
139,team_boggar_T,12,2,1,8,174.81508,0,12,0,0,0.0,4,0,1490
140,ZzZ_Houstonrdy,15,0,0,0,0.0,0,8,0,0,0.0,0,0,612
141,ZzZ_HoBBitEz,15,2,0,3,331.8864,0,3,1,1,7.9847813,3,0,605
142,ZzZ_Golden,15,0,0,0,14.996691,0,0,0,0,0.0,0,0,122
143,ZzZ_P1NN,15,0,0,1,169.6125,0,1,0,0,0.0,0,0,467
144,TXC_Nikitosick,6,2,1,10,641.7077,0,5,0,0,0.0,3,0,1794
145,TXC_jeka,6,2,2,2,554.8973,0,4,1,2,70.46524,1,0,1794
146,TXC_Sanechek,6,1,1,11,516.1356,0,1,2,2,62.21187,0,0,1794
147,TXC_Iulian,6,1,2,9,299.07843,0,2,0,0,0.0,1,0,1768
148,EXN_Dab00m,3,0,0,4,191.5093,1,10,1,1,24.859129,1,0,1168
149,EXN_Salik-,3,1,3,6,420.068,0,18,1,2,106.30679,0,0,1917
150,EXN_btm,3,5,0,7,1300.8301,0,9,1,5,52.907623,0,0,1950
151,EXN_iZooom,3,0,0,2,45.473972,0,14,0,0,0.0,0,0,969
152,ATS_Aukenai-,2,1,0,3,108.85916,0,1,1,1,246.98854,0,0,1914
153,ATS_Ansli-,2,2,0,5,550.15045,0,8,1,4,41.570606,0,0,1966
154,ATS_anTlr-,2,1,0,7,505.00714,0,6,1,2,537.3705,0,0,1966
155,ATS_ninjaSamurai,2,1,0,5,216.44125,0,2,0,0,0.0,0,0,1848
156,DOMA_DjexN7,4,5,2,4,491.61646,1,6,1,3,98.12627,0,0,1779
157,DOMA_Loki511,4,3,2,6,602.8772,1,1,2,3,64.58274,1,0,1813
158,DOMA_hANSOLOWWS,4,1,1,11,219.96901,0,4,1,2,54.848145,0,0,1868
159,DOMA_GuNsSshoT,4,1,1,5,420.9845,0,2,1,1,29.716276,1,0,1838
160,SKA_XTeam,1,2,2,5,173.4,0,6,1,2,22.499748,0,0,1965
161,SKA_hellstory,1,5,4,11,692.16724,0,11,1,3,35.009254,0,0,1966
162,SKA_Agrsv,1,3,1,6,384.50366,0,5,2,3,32.497826,2,0,1932
163,CFRM_Instinct,14,0,0,1,214.15265,0,1,0,0,0.0,0,0,514
164,CFRM_Excela1Ss-,14,2,1,1,237.19571,0,2,0,0,0.0,0,0,579
165,CFRM_maloy,14,1,0,0,59.888588,0,0,0,0,0.0,0,0,409
166,CFRM_takt,14,1,0,2,195.8032,0,2,1,1,45.238644,0,0,615
167,KRAN_k1im,11,1,0,6,247.26999,0,3,2,2,38.73623,0,0,1498
168,KRAN_Dream4u,11,0,2,7,261.72095,0,3,0,0,0.0,0,0,1495
169,KRAN_Krower,11,1,0,8,135.85086,0,1,1,1,44.343224,0,0,1397
170,KRAN_Werbitum,11,2,0,0,267.21722,0,0,2,2,2.723967,0,0,264
171,PINK_GIRYA,9,0,1,6,141.70631,0,3,0,0,0.0,0,0,1633
172,PINK_TheWanderer,9,1,0,6,287.85294,0,8,1,1,208.66872,1,0,1633
173,PINK_Matthew,9,0,1,3,55.68912,0,2,0,0,0.0,0,0,1618
174,PINK_Archi,9,2,0,4,345.389,0,1,1,2,243.10019,1,0,1629
175,DEZZ_Dronuqtize,16,0,0,0,0.0,0,0,0,0,0.0,0,0,219
176,DEZZ_NewJerseya,16,0,0,3,96.58499,0,4,0,0,0.0,0,0,515
177,DEZZ_Reactive,16,0,0,2,114.296,0,1,0,0,0.0,0,0,593
178,DEZZ_Milkerio,16,1,0,0,159.50565,0,1,0,0,0.0,0,0,608
179,BT_Metr1ckz,13,2,0,5,222.61407,0,5,0,0,0.0,0,0,1118
180,BT_neformacya,13,1,2,6,230.67505,0,9,1,1,7.496285,1,0,1423
181,BT_Danilajke,13,1,0,0,100.0,0,0,1,1,17.626535,0,0,189
182,BT_xLurex,13,2,0,5,258.9884,0,9,1,2,51.70625,0,0,1135
183,NP_CTygeHT,10,0,1,0,30.24,0,0,0,0,0.0,0,0,262
184,NP_berg1s,10,0,1,0,39.6,0,0,0,0,0.0,0,0,260
185,NP_Lekr0,10,1,0,3,30.16,0,1,1,1,3.134488,0,0,1225
186,NP_TRIMBL,10,1,0,2,199.26051,0,0,0,0,0.0,0,0,1556
187,DJR_SHROWWWWWWW-,8,2,0,7,269.0472,0,7,0,0,0.0,0,0,1748
188,DJR_Molodoct,8,0,0,7,272.3686,0,4,0,0,0.0,0,0,1682
189,DJR_hallomybad,8,0,0,5,21.1641,0,0,0,0,0.0,0,0,1473
190,TM_GOOSYARA666,5,1,0,3,267.4453,0,4,0,0,0.0,2,0,1815
191,TM_AIMLUL,5,1,0,11,420.97324,0,12,0,0,0.0,0,0,1807
192,TM_Maxiz0r,5,0,0,2,0.0,0,1,0,0,0.0,0,0,583
193,TM_Dan1mon,5,3,0,12,495.6783,0,10,1,2,7.6232195,0,0,1839
194,NMD_ostrovk,7,0,0,4,374.62952,0,4,0,0,0.0,0,0,1782
195,NMD_Coleral,7,0,0,6,349.40268,0,5,1,1,7.268652,3,0,1784
196,NMD_do0kei,7,1,0,13,228.07898,0,5,0,0,0.0,0,0,1784
197,NMD_MANYA-,7,1,0,11,238.23547,0,2,1,1,36.198112,2,0,1784
198,KRAN_Krower,15,0,0,1,54.94886,0,0,0,0,0.0,0,0,494
199,KRAN_Dream4u,15,0,0,0,0.0,0,0,0,0,0.0,0,0,474
200,KRAN_Werbitum,15,0,0,0,0.0,0,0,0,0,0.0,0,0,493
201,KRAN_k1im,15,0,0,0,0.0,0,0,0,0,0.0,0,0,494
202,DEZZ_Reactive,13,1,0,0,100.0,0,0,1,1,14.659946,0,0,994
203,DEZZ_NewJerseya,13,0,0,1,0.0,0,0,0,0,0.0,0,0,843
204,DEZZ_Milkerio,13,1,0,2,176.88808,0,2,0,0,0.0,0,0,1002
205,DEZZ_Dronuqtize,13,2,0,1,233.34717,1,0,1,1,18.168526,0,0,1002
206,SKA_XTeam,6,2,1,1,255.06862,2,0,1,3,68.96775,0,0,831
207,SKA_Agrsv,6,2,2,6,315.9843,1,2,2,2,62.144474,0,0,1402
208,SKA_hellstory,6,0,0,2,119.89752,0,3,0,0,0.0,0,0,1112
209,SKA_hAL-T,6,0,0,5,66.72,0,7,1,1,62.479103,0,0,1111
210,NMD_MANYA-,8,0,0,6,12.428765,0,3,0,0,0.0,0,0,1197
211,NMD_Coleral,8,0,0,2,64.345985,0,0,0,0,0.0,0,0,1214
212,NMD_ostrovk,8,0,0,1,83.83945,0,0,0,0,0.0,0,0,1214
213,NMD_do0kei,8,0,0,6,267.54123,0,2,0,0,0.0,0,0,1214
214,ZzZ_Golden,1,4,3,8,717.6535,3,2,1,4,180.54262,2,0,1878
215,ZzZ_HoBBitEz,1,1,5,10,400.196,1,1,1,3,122.44629,0,0,1905
216,ZzZ_P1NN,1,6,2,7,653.59906,2,5,2,6,47.47786,0,0,1889
217,ZzZ_Houstonrdy,1,0,0,1,90.85133,1,1,1,1,14.464755,0,0,917
218,ATS_Ansli-,10,2,1,4,110.07719,1,2,2,2,179.49611,0,0,1087
219,ATS_ninjaSamurai,10,0,1,3,153.70876,0,1,0,0,0.0,0,0,1104
220,ATS_anTlr-,10,3,0,4,535.93317,0,5,1,3,209.84157,0,0,1089
221,ATS_Aukenai-,10,0,2,2,125.42692,0,1,1,1,198.13881,1,0,1104
222,BT_Danilajke,16,0,0,0,84.6,0,1,0,0,0.0,0,0,141
223,BT_Metr1ckz,16,0,0,0,0.0,0,0,0,0,0.0,0,0,141
224,BT_xLurex,16,0,0,0,128.2275,0,0,0,0,0.0,0,0,141
225,BT_neformacya,16,0,0,0,0.0,0,0,0,0,0.0,0,0,141
226,TM_AIMLUL,12,2,0,2,175.0,0,0,1,1,57.01746,0,0,1051
227,TM_Maxiz0r,12,1,0,0,129.61,0,0,0,0,0.0,0,0,975
228,TM_GOOSYARA666,12,0,0,0,19.8,0,0,0,0,0.0,0,0,976
229,TM_Dan1mon,12,0,0,0,0.0,0,0,0,0,0.0,0,0,934
230,TXC_Nikitosick,14,0,0,1,0.0,0,1,0,0,0.0,0,0,831
231,TXC_Iulian,14,1,1,2,213.45518,0,0,0,0,0.0,0,0,831
232,TXC_jeka,14,0,0,0,0.0,0,0,0,0,0.0,0,0,314
233,TXC_Sanechek,14,0,0,0,29.435112,0,0,0,0,0.0,1,0,772
234,NP_berg1s,2,1,4,13,606.4448,1,4,1,2,97.43817,1,0,1892
235,NP_Lekr0,2,1,3,10,306.61627,0,2,1,1,29.852009,0,0,1887
236,NP_CTygeHT,2,5,3,7,546.7811,2,4,2,5,122.52768,0,0,1889
237,NP_TRIMBL,2,3,1,7,478.01663,3,3,1,7,213.99988,0,0,1905
238,EXN_iZooom,3,2,2,6,171.01123,0,6,1,1,53.996685,1,0,1522
239,EXN_Salik-,3,0,1,3,94.41701,0,5,0,0,0.0,0,0,1408
240,EXN_btm,3,4,0,4,695.90344,1,5,2,5,61.197678,0,0,1568
241,EXN_Dab00m,3,2,2,5,481.1046,0,4,1,2,60.51793,0,0,1548
242,DOMA_GuNsSshoT,11,1,0,3,135.28,0,0,0,0,0.0,0,0,882
243,DOMA_Loki511,11,1,0,3,124.782745,1,1,1,1,114.131874,0,0,869
244,DOMA_hANSOLOWWS,11,0,0,5,54.77899,0,1,0,0,0.0,0,0,999
245,DOMA_DjexN7,11,1,0,2,224.40306,0,6,1,1,13.693114,0,0,1069
246,DJR_SHROWWWWWWW-,9,1,0,3,194.63135,2,3,2,2,16.892294,2,0,1116
247,DJR_hallomybad,9,1,2,4,176.16,0,2,1,1,29.395405,0,0,1116
248,DJR_PedalGaza,9,0,0,1,65.204994,0,0,0,0,0.0,0,0,929
249,DJR_Molodoct,9,0,0,0,17.543924,0,0,0,0,0.0,0,0,943
250,CFRM_takt,5,0,0,2,120.678,1,0,1,1,145.65263,0,0,1320
251,CFRM_maloy,5,0,0,2,41.04813,0,4,0,0,0.0,1,0,1066
252,CFRM_Instinct,5,0,0,0,143.71335,0,0,0,0,0.0,0,0,1009
253,CFRM_Excela1Ss-,5,1,0,7,384.0363,1,6,1,2,218.43582,0,0,1429
254,PINK_Archi,4,0,0,3,75.497,0,2,0,0,0.0,0,0,1410
255,PINK_GIRYA,4,0,0,3,93.230835,0,8,0,0,0.0,0,0,1447
256,PINK_TheWanderer,4,0,0,0,0.0,0,0,0,0,0.0,0,0,189
257,PINK_Matthew,4,1,1,1,321.03107,0,0,0,0,0.0,0,0,1433
258,team_whileyoung,7,0,2,0,130.98532,0,1,0,0,0.0,0,0,1291
259,team_boggar_T,7,2,0,5,135.51062,0,6,2,2,144.51184,0,0,1291
260,team_ZorF,7,1,1,2,178.16855,0,4,0,0,0.0,0,0,1274
261,team_Ieenan,7,0,0,4,224.37888,0,1,0,0,0.0,0,0,1273
262,DEZZ_Reactive,12,0,0,8,61.178917,0,4,0,0,0.0,0,0,1262
263,DEZZ_NewJerseya,12,1,1,6,285.94672,0,20,0,0,0.0,1,0,1262
264,DEZZ_Milkerio,12,0,0,2,29.24744,0,1,0,0,0.0,0,0,965
265,DEZZ_Dronuqtize,12,0,0,2,0.0,0,0,0,0,0.0,0,0,1113
266,DJR_hallomybad,10,0,0,4,250.85146,1,3,1,1,20.534746,0,0,1337
267,DJR_SHROWWWWWWW-,10,1,1,8,254.50499,0,9,1,1,80.16316,0,0,1335
268,DJR_PedalGaza,10,2,2,2,200.0,0,5,1,2,63.012516,0,0,1094
269,DJR_Molodoct,10,3,1,4,268.7968,1,2,1,3,373.4199,1,0,1303
270,DOMA_GuNsSshoT,7,0,0,5,87.86792,0,1,0,0,0.0,0,0,1435
271,DOMA_Loki511,7,0,0,2,62.039997,0,0,0,0,0.0,0,0,563
272,DOMA_hANSOLOWWS,7,1,1,7,383.66644,0,3,1,2,152.37436,0,0,1435
273,DOMA_DjexN7,7,2,1,4,151.33398,0,1,0,0,0.0,0,0,1435
274,team_ZorF,5,0,0,4,155.1391,0,2,0,0,0.0,0,0,1254
275,team_boggar_T,5,0,0,0,0.0,0,0,0,0,0.0,0,0,243
276,team_whileyoung,5,0,0,4,117.62933,0,2,0,0,0.0,0,0,1433
277,team_Ieenan,5,4,0,8,447.64313,1,4,2,5,177.62056,1,0,1599
278,KRAN_Dream4u,11,1,0,5,341.88724,0,3,2,2,64.06073,1,0,1285
279,KRAN_Krower,11,1,0,7,356.76242,0,2,0,0,0.0,0,0,1245
280,KRAN_Werbitum,11,0,0,3,0.0,0,7,0,0,0.0,1,0,1285
281,KRAN_k1im,11,0,0,2,0.0,0,0,0,0,0.0,0,0,407
282,EXN_Dab00m,1,3,2,2,660.9825,2,6,2,4,23.877369,0,0,1935
283,EXN_btm,1,2,0,2,710.2875,0,1,1,1,324.0498,0,0,1633
284,EXN_Salik-,1,3,1,6,423.38397,0,5,2,3,77.20036,2,0,1615
285,EXN_iZooom,1,1,2,1,339.40747,0,2,0,0,0.0,0,0,1609
286,NMD_MANYA-,14,0,0,3,76.14278,0,5,0,0,0.0,0,0,1123
287,NMD_Coleral,14,1,0,1,119.06119,0,1,0,0,0.0,0,0,1123
288,NMD_do0kei,14,0,0,0,0.0,0,0,0,0,0.0,0,0,78
289,NMD_ostrovk,14,1,0,2,111.54285,0,2,0,0,0.0,0,0,1123
290,TM_AIMLUL,6,4,1,6,476.56448,0,12,2,4,176.3755,2,0,1543
291,TM_Maxiz0r,6,2,2,2,527.9757,0,3,2,3,80.459465,0,0,1517
292,TM_Dan1mon,6,2,0,2,375.9186,0,2,1,1,61.660187,2,0,1513
293,TM_GOOSYARA666,6,1,0,3,467.1579,1,1,1,2,209.03462,0,0,1512
294,SKA_Agrsv,8,0,0,4,0.0,0,3,0,0,0.0,0,0,976
295,SKA_hellstory,8,1,0,2,100.0,0,4,0,0,0.0,0,0,1087
296,SKA_XTeam,8,0,0,4,149.45752,0,2,0,0,0.0,0,0,1433
297,SKA_hAL-T,8,0,0,3,0.0,0,1,0,0,0.0,0,0,954
298,CFRM_Excela1Ss-,4,1,1,6,265.02304,0,9,1,1,5.13589,1,0,1597
299,CFRM_maloy,4,3,1,4,499.24252,1,4,2,2,5.1575904,1,0,1609
